family,L,PCR,order_churn,fill,cover_days,orders_per_year
Floating window (both),28,0.0388592205431201,0.9855907780979827,1.0,13.912224397529945,13.094170403587444
Floating window (both),56,0.024542665606181117,0.9953917050691244,1.0,27.449541875158573,6.547085201793722
Fixed order quantity (LN),7,0.13816611748664925,0.6485333333333333,1.0,3.4274902935770184,54.01345291479821
Fixed order quantity (LN),28,0.04397227587774116,0.747104247104247,1.0,13.995502251723504,13.639760837070254
Economic order quantity (LN),10,0.43756391319168275,0.592643890427824,1.0,0.08820624055060142,272.24962630792226
Economic order quantity (LN),100,0.42620156800363596,0.7916842549598987,1.0,0.7526898038892088,181.13602391629297
Economic order quantity (LN),1000,0.25292580388592206,0.9657266811279827,1.0,2.8086156029324614,79.11061285500747
Floating window (both),7,0.04022270196568572,0.8408551068883611,1.0,12.21579781738423,16.913303437967116
Floating window (both),14,0.022611066924213157,0.9170506912442397,1.0,15.792925943432303,8.729446935724962
Floating window (both),28,0.014089308033178047,1.0,1.0,24.019694603689256,4.364723467862481
Floating window (both),56,0.008180888535393706,1.0,1.0,39.76436848310256,2.1823617339312404
Fixed order quantity (LN),7,0.07794568799000114,0.5244648318042814,1.0,10.624386424768781,44.19282511210762
Fixed order quantity (LN),28,0.03681399840927167,0.6441351888667992,1.0,14.276105408326325,14.185351270553065
Economic order quantity (LN),10,0.18725144869901147,0.7124945957630783,1.0,9.472133610454648,98.20627802690584
Economic order quantity (LN),100,0.19554596068628566,0.8407425500732779,1.0,9.665471231336369,88.38565022421524
Economic order quantity (LN),1000,0.13521190773775707,0.9429477020602218,1.0,10.614378982432411,49.648729446935725
Floating window (both),7,0.04647199181911146,0.8989010989010989,1.0,12.613895498153653,19.095665171898357
Floating window (both),14,0.026247017384388137,0.9871794871794872,1.0,16.09038962927647,9.820627802690582
Floating window (both),28,0.014998295648221792,1.0,1.0,24.037597514867592,4.910313901345291
Floating window (both),56,0.009544369957959323,0.9882352941176471,1.0,36.15085276379899,2.7279521674140508
